,HT,AT,R,MV_HT,MV_AT,POS_HT,POS_AT
2063,Eintracht Frankfurt,1.FC Union Berlin,home,269.15,82.05,4,7
2064,1.FC Köln,Borussia Dortmund,draw,118.20,628.40,14,5
2065,SV Werder Bremen,VfL Wolfsburg,away,111.98,256.83,12,3
2066,FC Schalke 04,Borussia Mönchengladbach,away,123.05,300.75,18,10
2067,TSG 1899 Hoffenheim,1.FSV Mainz 05,away,228.15,163.30,11,17
2068,Hertha BSC,Bayer 04 Leverkusen,home,228.88,373.25,16,6
2069,SC Freiburg,FC Augsburg,home,139.10,93.05,9,13
2070,Borussia Dortmund,Eintracht Frankfurt,away,628.40,269.15,5,4
2071,Bayer 04 Leverkusen,FC Schalke 04,home,373.25,123.05,6,18
2072,VfL Wolfsburg,1.FC Köln,home,256.83,118.20,3,16
2073,1.FSV Mainz 05,Arminia Bielefeld,draw,163.30,56.73,15,17
2074,FC Augsburg,TSG 1899 Hoffenheim,home,93.05,228.15,13,11
2075,RasenBallsport Leipzig,FC Bayern München,away,574.95,858.23,2,1
2076,Borussia Mönchengladbach,SC Freiburg,home,300.75,139.10,10,8
2077,VfB Stuttgart,SV Werder Bremen,home,189.25,111.98,9,12
2078,1.FC Union Berlin,Hertha BSC,draw,82.05,228.88,7,14
2079,Arminia Bielefeld,SC Freiburg,home,56.73,139.10,17,10
2080,FC Bayern München,1.FC Union Berlin,draw,858.23,82.05,1,7
2081,Eintracht Frankfurt,VfL Wolfsburg,home,269.15,256.83,4,3
2082,Hertha BSC,Borussia Mönchengladbach,draw,228.88,300.75,14,9
2083,SV Werder Bremen,RasenBallsport Leipzig,away,111.98,574.95,13,2
2084,VfB Stuttgart,Borussia Dortmund,away,189.25,628.40,8,5
2085,FC Schalke 04,FC Augsburg,home,123.05,93.05,18,11
2086,1.FC Köln,1.FSV Mainz 05,away,118.20,163.30,16,15
2087,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,draw,228.15,373.25,12,6
